appid,review_score,review_score_desc,total_reviews
730,8.0,Very Positive,1367090.0
570,8.0,Very Positive,6098.0
2807960,8.0,Very Positive,58813.0
2923300,0.0,No user reviews,0.0
578080,5.0,Mixed,277935.0
218,0.0,No user reviews,0.0
252490,8.0,Very Positive,501290.0
2767030,0.0,No user reviews,0.0
3405340,8.0,Very Positive,24070.0
3419430,0.0,No user reviews,0.0
3681810,0.0,No user reviews,0.0
1086940,9.0,Overwhelmingly Positive,420202.0
230410,8.0,Very Positive,1141.0
381210,6.0,Mostly Positive,236602.0
431960,9.0,Overwhelmingly Positive,213585.0
440,6.0,Mostly Positive,26015.0
1366800,8.0,Very Positive,18555.0
1938090,5.0,Mixed,226194.0
1030300,8.0,Very Positive,100609.0
413150,9.0,Overwhelmingly Positive,365551.0
2507950,0.0,No user reviews,0.0
1063730,5.0,Mixed,142535.0
271590,8.0,Very Positive,570068.0
3405690,5.0,Mixed,4145.0
2073620,0.0,No user reviews,0.0
1172470,6.0,Mostly Positive,1034.0
359550,8.0,Very Positive,619576.0
221100,6.0,Mostly Positive,170583.0
2352620,6.0,Mostly Positive,4833.0
236390,5.0,Mixed,795.0
2357570,5.0,Mixed,122.0
3167020,9.0,Overwhelmingly Positive,1487.0
1422450,0.0,No user reviews,0.0
1145350,9.0,Overwhelmingly Positive,46966.0
1085660,6.0,Mostly Positive,76774.0
3354750,6.0,Mostly Positive,186.0
438100,8.0,Very Positive,110.0
1174180,8.0,Very Positive,264670.0
2252570,8.0,Very Positive,6449.0
480,0.0,No user reviews,0.0
2694490,6.0,Mostly Positive,82634.0
394360,8.0,Very Positive,114161.0
3240220,6.0,Mostly Positive,33316.0
1285190,5.0,Mixed,35330.0
2062430,9.0,Overwhelmingly Positive,2269.0
553850,8.0,Very Positive,592515.0
1222670,8.0,Very Positive,45349.0
294100,9.0,Overwhelmingly Positive,110637.0
105600,9.0,Overwhelmingly Positive,567240.0
1091500,8.0,Very Positive,352499.0
108600,8.0,Very Positive,134456.0
322170,8.0,Very Positive,197969.0
489830,8.0,Very Positive,119274.0
289070,8.0,Very Positive,103048.0
552990,6.0,Mostly Positive,811.0
2399830,5.0,Mixed,46185.0
892970,8.0,Very Positive,247681.0
1984270,8.0,Very Positive,3922.0
550,9.0,Overwhelmingly Positive,217867.0
532790,5.0,Mixed,1403.0
367520,9.0,Overwhelmingly Positive,156479.0
3037410,5.0,Mixed,247.0
252950,8.0,Very Positive,225654.0
2958130,8.0,Very Positive,562.0
582660,6.0,Mostly Positive,34817.0
1142710,5.0,Mixed,55501.0
39210,8.0,Very Positive,58582.0
1623730,9.0,Overwhelmingly Positive,142688.0
227300,9.0,Overwhelmingly Positive,131976.0
1973530,0.0,No user reviews,0.0
4000,9.0,Overwhelmingly Positive,508108.0
990080,8.0,Very Positive,132228.0
251570,8.0,Very Positive,120861.0
3949040,8.0,Very Positive,655.0
1169040,9.0,Overwhelmingly Positive,8508.0
2300320,8.0,Very Positive,10270.0
1245620,8.0,Very Positive,414208.0
377160,8.0,Very Positive,169004.0
3224770,0.0,No user reviews,0.0
739630,9.0,Overwhelmingly Positive,337778.0
275850,8.0,Very Positive,170118.0
284160,9.0,Overwhelmingly Positive,177150.0
1623660,0.0,No user reviews,0.0
813780,8.0,Very Positive,56986.0
1151340,6.0,Mostly Positive,40339.0
1158310,8.0,Very Positive,45439.0
526870,9.0,Overwhelmingly Positive,122063.0
427520,9.0,Overwhelmingly Positive,109568.0
261550,8.0,Very Positive,92133.0
2139460,7.0,Positive,19.0
2246340,5.0,Mixed,73338.0
250900,9.0,Overwhelmingly Positive,132250.0
2429640,6.0,Mostly Positive,6016.0
2073850,0.0,8 user reviews,8.0
2669320,5.0,Mixed,27851.0
3241660,9.0,Overwhelmingly Positive,92030.0
8930,9.0,Overwhelmingly Positive,76959.0
346110,8.0,Very Positive,249910.0
629520,9.0,Overwhelmingly Positive,26937.0
3164500,9.0,Overwhelmingly Positive,157268.0
1665460,4.0,Mostly Negative,368.0
1905180,0.0,No user reviews,0.0
291550,8.0,Very Positive,1574.0
3527290,8.0,Very Positive,78263.0
218620,8.0,Very Positive,172273.0
960090,9.0,Overwhelmingly Positive,213939.0
281990,8.0,Very Positive,72559.0
2622380,8.0,Very Positive,61882.0
513710,6.0,Mostly Positive,36375.0
1454400,9.0,Overwhelmingly Positive,48539.0
594650,6.0,Mostly Positive,90738.0
236850,8.0,Very Positive,46813.0
2379780,9.0,Overwhelmingly Positive,90320.0
2707930,7.0,Positive,22.0
1172710,6.0,Mostly Positive,40810.0
1281930,0.0,No user reviews,0.0
365670,8.0,Very Positive,72.0
3472040,5.0,Mixed,1963.0
2183900,8.0,Very Positive,80084.0
306130,8.0,Very Positive,71943.0
632360,8.0,Very Positive,149895.0
322330,9.0,Overwhelmingly Positive,78901.0
1874880,6.0,Mostly Positive,22305.0
3659280,0.0,No user reviews,0.0
1304930,8.0,Very Positive,28932.0
270880,9.0,Overwhelmingly Positive,86407.0
1771300,8.0,Very Positive,44993.0
244210,8.0,Very Positive,54437.0
1203220,8.0,Very Positive,12897.0
3314790,8.0,Very Positive,5779.0
2141910,0.0,No user reviews,0.0
292030,9.0,Overwhelmingly Positive,227191.0
1476970,0.0,No user reviews,0.0
3231090,0.0,No user reviews,0.0
1325860,8.0,Very Positive,70.0
2763740,0.0,No user reviews,0.0
